"","modzcta","casecount","week_ending"
"799",11203,12,2020-09-12
"800",11204,25,2020-09-12
"801",11205,6,2020-09-12
"802",11206,21,2020-09-12
"803",11207,25,2020-09-12
"804",11208,43,2020-09-12
"805",11209,15,2020-09-12
"806",11210,35,2020-09-12
"807",11211,34,2020-09-12
"808",11212,6,2020-09-12
"809",11213,10,2020-09-12
"810",11214,23,2020-09-12
"811",11215,7,2020-09-12
"812",11216,12,2020-09-12
"813",11217,2,2020-09-12
"814",11218,22,2020-09-12
"815",11219,27,2020-09-12
"816",11220,12,2020-09-12
"817",11221,15,2020-09-12
"818",11222,9,2020-09-12
"819",11223,90,2020-09-12
"820",11224,8,2020-09-12
"821",11225,13,2020-09-12
"822",11226,13,2020-09-12
"823",11228,4,2020-09-12
"824",11229,37,2020-09-12
"825",11230,101,2020-09-12
"826",11231,5,2020-09-12
"827",11232,8,2020-09-12
"828",11233,10,2020-09-12
"829",11234,25,2020-09-12
"830",11235,25,2020-09-12
"831",11236,8,2020-09-12
"832",11237,3,2020-09-12
"833",11238,10,2020-09-12
"834",11239,2,2020-09-12
"835",11354,6,2020-09-12
"836",11355,3,2020-09-12
"837",11356,5,2020-09-12
"838",11357,5,2020-09-12
"839",11358,4,2020-09-12
"840",11360,2,2020-09-12
"841",11361,3,2020-09-12
"842",11362,0,2020-09-12
"843",11363,1,2020-09-12
"844",11364,8,2020-09-12
"845",11365,21,2020-09-12
"846",11366,8,2020-09-12
"847",11367,17,2020-09-12
"848",11368,32,2020-09-12
"849",11369,9,2020-09-12
"850",11370,6,2020-09-12
"851",11372,7,2020-09-12
"852",11373,13,2020-09-12
"853",11374,25,2020-09-12
"854",11375,29,2020-09-12
"855",11377,22,2020-09-12
"856",11378,12,2020-09-12
"857",11379,5,2020-09-12
"858",11385,15,2020-09-12
"859",11411,3,2020-09-12
"860",11412,6,2020-09-12
"861",11413,8,2020-09-12
"862",11414,11,2020-09-12
"863",11415,18,2020-09-12
"864",11416,6,2020-09-12
"865",11417,1,2020-09-12
"866",11418,12,2020-09-12
"867",11419,6,2020-09-12
"868",11420,5,2020-09-12
"869",11421,9,2020-09-12
"870",11422,3,2020-09-12
"871",11423,5,2020-09-12
"872",11426,5,2020-09-12
"873",11427,7,2020-09-12
"874",11428,3,2020-09-12
"875",11429,9,2020-09-12
"876",11432,20,2020-09-12
"877",11433,3,2020-09-12
"878",11434,9,2020-09-12
"879",11435,14,2020-09-12
"880",11436,5,2020-09-12
"881",11691,46,2020-09-12
"882",11692,4,2020-09-12
"883",11693,0,2020-09-12
"884",11694,6,2020-09-12
"885",11697,2,2020-09-12
"886",10001,6,2020-09-19
"887",10002,17,2020-09-19
"888",10003,34,2020-09-19
"889",10004,2,2020-09-19
"890",10005,7,2020-09-19
"891",10006,1,2020-09-19
"892",10007,3,2020-09-19
"893",10009,22,2020-09-19
"894",10010,6,2020-09-19
"895",10011,12,2020-09-19
"896",10012,12,2020-09-19
"897",10013,6,2020-09-19
"898",10014,12,2020-09-19
"899",10016,18,2020-09-19
"900",10017,2,2020-09-19
"901",10018,7,2020-09-19
"902",10019,20,2020-09-19
"903",10021,23,2020-09-19
"904",10022,5,2020-09-19
"905",10023,23,2020-09-19
"906",10024,17,2020-09-19
"907",10025,19,2020-09-19
"908",10026,8,2020-09-19
"909",10027,14,2020-09-19
"910",10028,5,2020-09-19
"911",10029,18,2020-09-19
"912",10030,3,2020-09-19
"913",10031,21,2020-09-19
"914",10032,11,2020-09-19
"915",10033,22,2020-09-19
"916",10034,6,2020-09-19
"917",10035,3,2020-09-19
"918",10036,11,2020-09-19
"919",10037,3,2020-09-19
"920",10038,10,2020-09-19
"921",10039,5,2020-09-19
"922",10040,10,2020-09-19
"923",10044,2,2020-09-19
"924",10065,14,2020-09-19
"925",10069,2,2020-09-19
"926",10075,7,2020-09-19
"927",10128,14,2020-09-19
