"","week_ending","modzcta","pop_est","casecount","caserate_100k","testcount","testrate_100k","testpos"
"198",2020-08-15,10024,59001,14.1425397,23.97,1883.8016283,3192.83,0.750744637202732
"199",2020-08-15,10025,92805,13.1690295,14.19,2999.2998315,3231.83,0.439070124356788
"200",2020-08-15,10026,39363,10.1792718,25.86,825.6546702,2097.54,1.23287279384422
"201",2020-08-15,10027,64548,5.0928372,7.89,1323.653562,2050.65,0.384756052958818
"202",2020-08-15,10028,47793,3.0252969,6.33,1123.9384224,2351.68,0.269169274731256
"203",2020-08-15,10029,79597,19.3341113,24.29,2333.2189013,2931.29,0.828645408676726
"204",2020-08-15,10030,29882,3.062905,10.25,605.4003554,2025.97,0.505930492554184
"205",2020-08-15,10031,60254,13.2739562,22.03,1240.32859,2058.5,1.07019674520282
"206",2020-08-15,10032,64264,17.3255744,26.96,1207.7968952,1879.43,1.43447747455345
"207",2020-08-15,10033,59607,18.3351132,30.76,1161.2158884,1948.12,1.57895817506108
"208",2020-08-15,10034,42910,10.156797,23.67,897.981861,2092.71,1.13106928336941
"209",2020-08-15,10035,35743,5.0719317,14.19,964.5748952,2698.64,0.52582041324519
"210",2020-08-15,10036,27428,6.0396456,22.02,719.8780308,2624.61,0.838981791580463
"211",2020-08-15,10037,21139,7.1153874,33.66,445.2803516,2106.44,1.59795674218112
"212",2020-08-15,10038,22800,2.99136,13.12,452.7168,1985.6,0.660757453666398
"213",2020-08-15,10039,27726,12.241029,44.15,592.6543404,2137.54,2.06545842416984
"214",2020-08-15,10040,44571,14.1914064,31.84,942.7925346,2115.26,1.50525230940877
"215",2020-08-15,10044,11682,1.0011474,8.57,529.4597814,4532.27,0.189088470016129
"216",2020-08-15,10065,28109,2.0154153,7.17,908.7864572,3233.08,0.221769953109728
"217",2020-08-15,10069,5085,0.8090235,15.91,127.841985,2514.1,0.6328308340957
"218",2020-08-15,10075,23140,5.02138,21.7,771.182152,3332.68,0.651127621013719
"219",2020-08-15,10128,59256,6.07374,10.25,1528.9884936,2580.31,0.397239091426999
"220",2020-08-15,10280,9384,0,0,141.5698392,1508.63,0
"221",2020-08-15,10282,5593,0,0,73.2761302,1310.14,0
"222",2020-08-15,10301,38733,9.954381,25.7,1146.9073698,2961.06,0.867932429602913
"223",2020-08-15,10302,18204,5.9090184,32.46,388.0109784,2131.46,1.5228997963837
"224",2020-08-15,10303,25947,7.8282099,30.17,630.2604141,2429.03,1.24205958757199
"225",2020-08-15,10304,41064,10.7834064,26.26,1351.909008,3292.2,0.797642913553247
"226",2020-08-15,10305,42298,13.8187566,32.67,872.4850758,2062.71,1.58383873641956
"227",2020-08-15,10306,53142,13.0835604,24.62,1135.1609478,2136.09,1.15257315937063
"228",2020-08-15,10307,15232,3.0646784,20.12,244.1263104,1602.72,1.25536587800739
"229",2020-08-15,10308,30186,1.011231,3.35,544.5886446,1804.11,0.185687125507868
"230",2020-08-15,10309,33531,7.1253375,21.25,635.2045578,1894.38,1.12173903863005
"231",2020-08-15,10310,23262,7.9393206,34.13,571.5892116,2457.18,1.38899063153697
"232",2020-08-15,10312,61741,12.1382806,19.66,1204.4249057,1950.77,1.00780717357761
"233",2020-08-15,10314,90761,20.602747,22.7,2577.9300635,2840.35,0.799197282025103
"234",2020-08-15,10451,47798,15.1376266,31.67,1037.3504344,2170.28,1.45925871316144
"235",2020-08-15,10452,76078,30.3475142,39.89,1657.8613448,2179.16,1.83052185245691
"236",2020-08-15,10453,79606,40.4716904,50.84,1476.213664,1854.4,2.74158757549612
"237",2020-08-15,10454,38203,16.1560487,42.29,740.2327889,1937.63,2.18256323446685
"238",2020-08-15,10455,42283,24.2239307,57.29,838.7213597,1983.59,2.88819766181519
"239",2020-08-15,10456,94218,23.2530024,24.68,1816.7680068,1928.26,1.27991038552892
"240",2020-08-15,10457,74554,19.2125658,25.77,1428.9541518,1916.67,1.34451940083582
"241",2020-08-15,10458,83960,25.364316,30.21,1507.904808,1795.98,1.68209000100224
"242",2020-08-15,10459,48351,8.0794521,16.71,1096.8472701,2268.51,0.73660684766653
"243",2020-08-15,10460,59505,15.161874,25.48,1173.426699,1971.98,1.29210235397925
"244",2020-08-15,10461,50348,8.2016892,16.29,1072.6339312,2130.44,0.764630780496048
"245",2020-08-15,10462,76756,30.5719148,39.83,1610.2103948,2097.83,1.89862858286896
"246",2020-08-15,10463,71360,16.312896,22.86,2033.210528,2849.23,0.802322030864479
"247",2020-08-15,10464,4434,1.0348956,23.34,113.8145724,2566.86,0.909282157967322
"248",2020-08-15,10465,44205,8.2000275,18.55,1037.411781,2346.82,0.790431307045278
"249",2020-08-15,10466,72479,23.3744775,32.25,1678.0627996,2315.24,1.39294414401963
"250",2020-08-15,10467,103732,28.4640608,27.44,2634.5023504,2539.72,1.08043406359756
"251",2020-08-15,10468,78647,34.368739,43.7,1581.8035169,2011.27,2.17275651702656
"252",2020-08-15,10469,73870,13.22273,17.9,2503.469074,3389.02,0.52817628695021
"253",2020-08-15,10470,15432,4.1172576,26.68,295.4271216,1914.38,1.39366270019536
"254",2020-08-15,10471,21896,4.1230168,18.83,658.7017472,3008.32,0.625930752047654
"255",2020-08-15,10472,68796,18.2171808,26.48,1314.6090048,1910.88,1.38574897429457
"256",2020-08-15,10473,59609,20.1657247,33.83,1242.3886607,2084.23,1.62314139994146
"257",2020-08-15,10474,12127,2.025209,16.7,221.7688744,1828.72,0.913207051927031
"258",2020-08-15,10475,43208,12.1328064,28.08,1058.531188,2449.85,1.14619262403821
"259",2020-08-15,11004,19216,4.0564976,21.11,1057.667856,5504.1,0.383532275939754
"260",2020-08-15,11101,30043,8.1566745,27.15,780.5261529,2598.03,1.04502257479706
"261",2020-08-15,11102,30800,5.12512,16.64,762.70348,2476.31,0.671967564642553
"262",2020-08-15,11103,36140,9.309664,25.76,813.056036,2249.74,1.14502120245006
"263",2020-08-15,11104,26119,6.1614721,23.59,608.8965756,2331.24,1.01190782587807
"264",2020-08-15,11105,37382,6.1979356,16.58,714.7961748,1912.14,0.867091321765142
"265",2020-08-15,11106,38363,8.1981731,21.37,833.2942319,2172.13,0.983826934851966
"266",2020-08-15,11109,5981,0,0,155.6806452,2602.92,0
"267",2020-08-15,11201,62823,2.0166183,3.21,2165.2323888,3446.56,0.0931363446450954
"268",2020-08-15,11203,75451,5.1457582,6.82,1754.688456,2325.6,0.293257653938769
"269",2020-08-15,11204,76978,36.94944,48,919.694655,1194.75,4.01757689893283
"270",2020-08-15,11205,46064,8.130296,17.65,925.702144,2009.6,0.87828423566879
"271",2020-08-15,11206,88349,17.3252389,19.61,1580.3162328,1788.72,1.09631468312536
"272",2020-08-15,11207,91972,14.4579984,15.72,2031.9557904,2209.32,0.711531149856064
"273",2020-08-15,11208,98660,23.747462,24.07,1706.531886,1729.71,1.39156274751259
"274",2020-08-15,11209,67809,21.088599,31.1,1169.0814072,1724.08,1.80386060971649
"275",2020-08-15,11210,67040,18.36896,27.4,1105.308592,1648.73,1.66188520861512
"276",2020-08-15,11211,102624,7.0707936,6.89,2074.338912,2021.3,0.340869737297779
"277",2020-08-15,11212,76527,11.3795649,14.87,1776.4289037,2321.31,0.640586565344568
"278",2020-08-15,11213,66295,13.338554,20.12,1200.6753745,1811.11,1.11092092694535
"279",2020-08-15,11214,92946,25.0396524,26.94,1224.7401474,1317.69,2.04448694305944
"280",2020-08-15,11215,70156,4.03397,5.75,1623.304606,2313.85,0.248503576290598
"281",2020-08-15,11216,56308,8.2153372,14.59,1351.589078,2400.35,0.607828025079676
"282",2020-08-15,11217,41407,11.1426237,26.91,1128.6181769,2725.67,0.987280191659299
"283",2020-08-15,11218,74508,15.1027716,20.27,1333.1641932,1789.29,1.13285157800021
"284",2020-08-15,11219,90036,20.9873916,23.31,1245.3599448,1383.18,1.68524703943088
"285",2020-08-15,11220,95643,70.77582,74,2349.852867,2456.9,3.01192559729741
"286",2020-08-15,11221,83835,20.589876,24.56,1806.593949,2154.94,1.13970690599274
"287",2020-08-15,11222,36492,7.0721496,19.38,998.0817444,2735.07,0.708574186401079
"288",2020-08-15,11223,81789,22.08303,27,1111.0381338,1358.42,1.98760324494633
"289",2020-08-15,11224,46707,9.0845115,19.45,860.0300031,1841.33,1.05630169497048
"290",2020-08-15,11225,58882,13.307332,22.6,1318.6447254,2239.47,1.00916734763136
"291",2020-08-15,11226,100277,23.6854274,23.62,2078.5617114,2072.82,1.13951042541079
"292",2020-08-15,11228,44994,9.0032994,20.01,812.2001922,1805.13,1.10850742051819
"293",2020-08-15,11229,83615,22.024191,26.34,1125.12344,1345.6,1.95749108204518
"294",2020-08-15,11230,89075,10.0209375,11.25,1334.7799675,1498.49,0.750755760799205
"295",2020-08-15,11231,37845,8.09883,21.4,998.3548845,2638.01,0.811217546559717
"296",2020-08-15,11232,27602,9.1721446,33.23,848.8774284,3075.42,1.08050282563032
"297",2020-08-15,11233,76819,10.3321555,13.45,1272.3377332,1656.28,0.812060762672978
"298",2020-08-15,11234,95666,15.258727,15.95,1542.9682142,1612.87,0.988920371759658
"299",2020-08-15,11235,78128,23.9774832,30.69,1222.9141456,1565.27,1.96068409922889
"300",2020-08-15,11236,100331,13.4343209,13.39,2134.3714623,2127.33,0.62942749831949
"301",2020-08-15,11237,49310,9.245625,18.75,942.013309,1910.39,0.981474986782803
"302",2020-08-15,11238,54540,7.128378,13.07,1597.029372,2928.18,0.446352341727626
